Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1300000,1.2925663,19.0,16.594736842105263,2.3756175,3.0547165004142993,3.0547165004142993,1.0
1310000,1.2925903,20.0,14.122727272727273,2.122292,2.8508489225341114,2.8508489225341114,1.0
1320000,1.2925931,20.0,15.85427135678392,2.081229,2.55552788696515,2.55552788696515,1.0
1330000,1.2897295,20.0,15.757575757575758,2.0974338,2.827784260205401,2.827784260205401,1.0
1340000,1.2890986,20.0,16.612565445026178,2.0827863,2.924697688271689,2.924697688271689,1.0
1350000,1.2884109,20.0,16.433862433862434,2.1750026,2.7854362697345425,2.7854362697345425,1.0
1360000,1.2881672,20.0,16.403141361256544,2.258884,3.189720460524162,3.189720460524162,1.0
1370000,1.2853855,20.0,15.416666666666666,2.238088,2.9987590069653556,2.9987590069653556,1.0
1380000,1.2842171,20.0,16.76086956521739,2.1753557,2.977699445243041,2.977699445243041,1.0
1390000,1.283354,20.0,15.388059701492537,2.2372966,3.077938811493314,3.077938811493314,1.0
1400000,1.2828845,20.0,18.32369942196532,2.2064977,2.7087393730993896,2.7087393730993896,1.0
1410000,1.2823656,20.0,15.833333333333334,1.98883,2.610591813845902,2.610591813845902,1.0
1420000,1.2820145,20.0,15.711442786069652,2.4798548,3.37382398692793,3.37382398692793,1.0
1430000,1.2797029,20.0,14.25925925925926,2.21984,3.109707211470016,3.109707211470016,1.0
1440000,1.2777766,20.0,14.5,2.3121939,3.222148810962374,3.222148810962374,1.0
1450000,1.2761111,20.0,15.106796116504855,2.1210067,2.7157439663410186,2.7157439663410186,1.0
1460000,1.2742531,20.0,15.29611650485437,2.0511198,2.5056449176943847,2.5056449176943847,1.0
1470000,1.2735668,20.0,15.310344827586206,2.285145,2.8901575962066257,2.8901575962066257,1.0
1480000,1.2726008,20.0,15.918367346938776,2.0974596,2.7385422094548875,2.7385422094548875,1.0
1490000,1.2715613,20.0,14.38139534883721,2.3215973,3.0608461339657125,3.0608461339657125,1.0
1500000,1.2697084,20.0,14.44392523364486,2.2225957,3.1424844813858948,3.1424844813858948,1.0
1510000,1.2690736,20.0,13.932735426008968,2.293333,3.1410477967607067,3.1410477967607067,1.0
1520000,1.2676132,20.0,14.551401869158878,2.06357,2.638200600343303,2.638200600343303,1.0
1530000,1.267193,20.0,14.488372093023257,2.6024563,3.4081844572411026,3.4081844572411026,1.0
1540000,1.2658657,21.0,12.626016260162602,2.2439866,2.8713047268337943,2.8713047268337943,1.0
1550000,1.2659123,21.0,14.52803738317757,2.251727,2.8589299814558324,2.8589299814558324,1.0
1560000,1.2661507,21.0,14.122727272727273,2.3724937,3.134333283872576,3.134333283872576,1.0
1570000,1.2660472,21.0,14.451162790697675,2.2019148,2.881094406518924,2.881094406518924,1.0
1580000,1.2652973,21.0,14.444444444444445,2.3876784,2.995860865256149,2.995860865256149,1.0
1590000,1.2652584,21.0,14.595348837209302,2.2661688,2.8451135189129073,2.8451135189129073,1.0
1600000,1.2646674,21.0,13.746666666666666,2.3781164,3.1869688999987917,3.1869688999987917,1.0
1610000,1.2646674,21.0,13.171034482758621,2.532696,3.3151311397300285,3.3151311397300285,1.0
1620000,1.261739,22.0,13.157205240174672,2.3249245,3.078864854286196,3.078864854286196,1.0
1630000,1.261739,22.0,15.366336633663366,2.4541438,3.1911954165281613,3.1911954165281613,1.0
1640000,1.2599006,22.0,13.426724137931034,2.5393462,3.266568947583437,3.266568947583437,1.0
1650000,1.2596824,23.0,11.469924812030076,2.5694299,3.471907467069104,3.471907467069104,1.0
1660000,1.2593557,24.0,12.23228346456693,2.341277,3.022922327604733,3.022922327604733,1.0
1670000,1.2592906,24.0,12.687242798353909,2.4599795,3.0405843415398492,3.0405843415398492,1.0
1680000,1.2588071,25.0,12.694214876033058,2.3308027,2.9442338170137825,2.9442338170137825,1.0
